Diane Abbott, Labour
Rosena Allin-Khan, Plaid Cymru
Mary Creagh, Plaid Cymru
Stella Creasy, Green Party
Tracey Crouch, Democratic Unionist Party
Jon Cruddas, Labour
John Cryer, Labour
Jim Cunningham, Labour
Simon Danczuk, Labour
Byron Davies, Conservative
Chris Davies, Conservative
David Davies, Conservative
David Amess, Conservative
James Davies, Conservative
Glyn Davies, Conservative
Mims Davies, Conservative
Philip Davies, Conservative
David Davis, Conservative
Gloria De Piero, Labour
Thangam Debbonaire, Green Party
Caroline Dinenage, Conservative
Jonathan Djanogly, Conservative
Nigel Dodds, Democratic Unionist Party
David Anderson, Labour
Jeffrey Donaldson, Democratic Unionist Party
Michelle Donelan, Conservative
Nadine Dorries, Democratic Unionist Party
Steve Double, Conservative
Stephen Doughty, Green Party
Jim Dowd, Green Party
Peter Dowd, Labour
Oliver Dowden, Conservative
Richard Drax, Conservative
Jack Dromey, Labour
Stuart Andrew, Conservative
Flick Drummond, Conservative
James Duddridge, Conservative
Michael Dugher, Labour
Iain Smith, Conservative
Alan Duncan, Conservative
Philip Dunne, Conservative
Maria Eagle, Green Party
Angela Eagle, Labour
Jonathan Edwards, Plaid Cymru
Clive Efford, Labour
Caroline Ansell, Conservative
Julie Elliott, Labour
Tom Elliott, Democratic Unionist Party
Michael Ellis, Conservative
Jane Ellison, Conservative
Louise Ellman, Green Party
Tobias Ellwood, Conservative
Chris Elmore, Labour
Charlie Elphicke, Conservative
Bill Esterson, Labour
George Eustice, Conservative
Edward Argar, Conservative
Chris Evans, Labour
Graham Evans, Conservative
Nigel Evans, Conservative
David Evennett, Conservative
Michael Fabricant, Conservative
Michael Fallon, Conservative
Tim Farron, Liberal Democrat
Suella Fernandes, Conservative
Frank Field, Labour
Mark Field, Conservative
Jonathan Ashworth, Labour
Robert Flello, Labour
Colleen Fletcher, Labour
Caroline Flint, Labour
Kevin Foster, Conservative
Yvonne Fovargue, Labour
Liam Fox, Conservative
Vicky Foxcroft, Labour
Mark Francois, Conservative
Lucy Frazer, Conservative
George Freeman, Conservative
Victoria Atkins, Conservative
Mike Freer, Conservative
Richard Fuller, Conservative
Gill Furniss, Labour
Marcus Fysh, Conservative
Roger Gale, Conservative
Barry Gardiner, Labour
Mark Garnier, Conservative
Edward Garnier, Conservative
David Gauke, Conservative
Nusrat Ghani, Conservative
Ian Austin, Labour
Nick Gibb, Conservative
Cheryl Gillan, Conservative
John Glen, Conservative
Mary Glindon, Labour
Robert Goodwill, Conservative
Michael Gove, Conservative
Richard Graham, Conservative
Helen Grant, Conservative
James Gray, Conservative
Chris Grayling, Conservative
Richard Bacon, Conservative
Chris Green, Conservative
Damian Green, Conservative
Kate Green, Green Party
Justine Greening, Conservative
Lilian Greenwood, Labour
Margaret Greenwood, Labour
Dominic Grieve, Conservative
Nia Griffith, Labour
Andrew Griffiths, Conservative
Ben Gummer, Conservative
Debbie Abrahams, Labour
Adrian Bailey, Labour
Andrew Gwynne, Labour
Sam Gyimah, Conservative
Louise Haigh, Labour
Robert Halfon, Conservative
Luke Hall, Conservative
Fabian Hamilton, Labour
Philip Hammond, Conservative
Stephen Hammond, Conservative
Matt Hancock, Democratic Unionist Party
Greg Hands, Conservative
Steve Baker, Conservative
Harriet Harman, Labour
Mark Harper, Conservative
Richard Harrington, Conservative
Carolyn Harris, Labour
Rebecca Harris, Conservative
Trudy Harrison, Democratic Unionist Party
Simon Hart, Conservative
Alan Haselhurst, Conservative
Helen Hayes, Green Party
John Hayes, Conservative
Harriett Baldwin, Conservative
Sue Hayman, Labour
Oliver Heald, Conservative
John Healey, Labour
James Heappey, Conservative
Chris Heaton-Harris, Conservative
Peter Heaton-Jones, Conservative
Gordon Henderson, Conservative
Mark Hendrick, Labour
Stephen Hepburn, Labour
Nick Herbert, Conservative
Stephen Barclay, Conservative
Meg Hillier, Green Party
Damian Hinds, Conservative
Simon Hoare, Conservative
Sharon Hodgson, Labour
Kate Hoey, Labour
Kate Hollern, Labour
George Hollingbery, Conservative
Kevin Hollinrake, Conservative
Philip Hollobone, Conservative
Adam Holloway, Conservative
John Baron, Conservative
Kelvin Hopkins, Labour
Kris Hopkins, Conservative
George Howarth, Labour
Gerald Howarth, Conservative
John Howell, Conservative
Ben Howlett, Conservative
Nigel Huddleston, Conservative
Jeremy Hunt, Conservative
Nick Hurd, Conservative
Stewart Jackson, Conservative
Kevin Barron, Labour
Margot James, Conservative
Dan Jarvis, Labour
Sajid Javid, Conservative
Ranil Jayawardena, Conservative
Bernard Jenkin, Conservative
Andrea Jenkyns, Conservative
Robert Jenrick, Conservative
Boris Johnson, Conservative
Diana Johnson, Labour
Caroline Johnson, Democratic Unionist Party
Gavin Barwell, Conservative
Gareth Johnson, Conservative
Joseph Johnson, Conservative
Andrew Jones, Conservative
Gerald Jones, Labour
Graham Jones, Green Party
Helen Jones, Green Party
David Jones, Conservative
Kevan Jones, Labour
Marcus Jones, Conservative
Daniel Kawczynski, Conservative
Guto Bebb, Conservative
Barbara Keeley, Labour
Liz Kendall, Labour
Seema Kennedy, Conservative
Danny Kinahan, Democratic Unionist Party
Stephen Kinnock, Labour
Simon Kirby, Conservative
Julian Knight, Conservative
Greg Knight, Conservative
Kwasi Kwarteng, Conservative
Peter Kyle, Green Party
Henry Bellingham, Conservative
Norman Lamb, Liberal Democrat
David Lammy, Green Party
Mark Lancaster, Conservative
Pauline Latham, Conservative
Ian Lavery, Labour
Andrea Leadsom, Conservative
