Lisa Nandy, Labour
Albert Owen, Labour
John Healey, Labour
Mark Hendrick, Labour (Co-op)
Drew Hendry, Scottish National Party
Stephen Hepburn, Labour
 Hermon, Independent
Mike Hill, Labour
Meg Hillier, Labour (Co-op)
Margaret Hodge, Labour
Sharon Hodgson, Labour
Kate Hollern, Labour
Stephanie Peacock, Labour
Kelvin Hopkins, Labour
George Howarth, Labour
Rupa Huq, Labour
Imran Hussain, Labour
Christine Jardine, Liberal Democrat
Dan Jarvis, Labour
Diana Johnson, Labour
Darren Jones, Labour
Gerald Jones, Labour
Graham Jones, Labour
Teresa Pearce, Labour
Helen Jones, Labour
Kevan Jones, Labour
Sarah Jones, Labour
Susan Jones, Labour
Mike Kane, Labour
Barbara Keeley, Labour
Liz Kendall, Labour
Gerard Killen, Labour (Co-op)
Stephen Kinnock, Labour
Peter Kyle, Labour
Matthew Pennycook, Labour
Lesley Laird, Labour
Norman Lamb, Liberal Democrat
David Lammy, Labour
Ian Lavery, Labour
Chris Law, Scottish National Party
Karen Lee, Labour
Chris Leslie, Labour (Co-op)
Emma Lewell-Buck, Labour
Clive Lewis, Labour
Ivan Lewis, Labour
Toby Perkins, Labour
David Linden, Scottish National Party
Tony Lloyd, Labour
Rebecca Bailey, Labour
Caroline Lucas, Green Party
Ian Lucas, Labour
Holly Lynch, Labour
Justin Madders, Labour
Khalid Mahmood, Labour
Shabana Mahmood, Labour
Seema Malhotra, Labour (Co-op)
Jess Phillips, Labour
John Mann, Labour
Gordon Marsden, Labour
Sandy Martin, Labour
Rachael Maskell, Labour (Co-op)
Christian Matheson, Labour
Steve McCabe, Labour
Kerry McCarthy, Labour
Siobhain McDonagh, Labour
Andy McDonald, Labour
Stewart McDonald, Scottish National Party
Bridget Phillipson, Labour
Stuart McDonald, Scottish National Party
John McDonnell, Labour
Pat McFadden, Labour
Conor McGinn, Labour
Alison McGovern, Labour
Liz McInnes, Labour
Catherine McKinnell, Labour
Jim McMahon, Labour (Co-op)
Anna McMorrin, Labour
John McNally, Scottish National Party
Laura Pidcock, Labour
Ian Mearns, Labour
Edward Miliband, Labour
Madeleine Moon, Labour
Jessica Morden, Labour
Stephen Morgan, Labour
Grahame Morris, Labour
Ian Murray, Labour
Diane Abbott, Labour
Debbie Abrahams, Labour
Heidi Alexander, Labour
Jo Platt, Labour (Co-op)
Rushanara Ali, Labour
Rosena Allin-Khan, Labour
Mike Amesbury, Labour
Tonia Antoniazzi, Labour
Jonathan Ashworth, Labour (Co-op)
Ian Austin, Labour
Adrian Bailey, Labour (Co-op)
Kevin Barron, Labour
Margaret Beckett, Labour
Clive Betts, Labour
Luke Pollard, Labour (Co-op)
Ian Blackford, Scottish National Party
Kirsty Blackman, Scottish National Party
Paul Blomfield, Labour
Tracy Brabin, Labour (Co-op)
Ben Bradshaw, Labour
Kevin Brennan, Labour
Alan Brown, Scottish National Party
Lyn Brown, Labour
Nicholas Brown, Labour
Chris Bryant, Labour
Gavin Newlands, Scottish National Party
